"Percentile","JumpHeight","mRSI","PeakRelPropPower","BrakingAsymm"
0,0.06,0.13,23.33,-46.53
1,0.31,0.31,46.37,44.68
2,0.33,0.34,48.04,-30.03
3,0.34,0.35,49.16,-26.13
4,0.35,0.36,50.07,25.55
5,0.36,0.37,50.92,-23.32
6,0.36,0.38,51.46,22.86
7,0.37,0.39,52,-21.5
8,0.37,0.4,52.45,20.65
9,0.38,0.41,52.91,-19.88
10,0.38,0.41,53.29,19.47
11,0.38,0.42,53.75,-18.78
12,0.38,0.42,54.13,18.26
13,0.39,0.43,54.46,-17.88
14,0.39,0.43,54.74,17.48
15,0.39,0.44,55.02,-16.81
16,0.4,0.45,55.33,16.77
17,0.4,0.45,55.58,16.12
18,0.4,0.46,55.76,-15.88
19,0.4,0.46,56.02,15.68
20,0.4,0.46,56.21,-15.05
21,0.41,0.47,56.37,14.96
22,0.41,0.47,56.52,-14.41
23,0.41,0.47,56.69,14.4
24,0.41,0.48,56.91,13.88
25,0.41,0.48,57.09,-13.86
26,0.42,0.48,57.27,-13.39
27,0.42,0.49,57.42,13.33
28,0.42,0.49,57.64,-12.76
29,0.42,0.49,57.85,12.76
30,0.42,0.5,57.99,-12.33
31,0.43,0.5,58.17,12.29
32,0.43,0.5,58.3,-11.84
33,0.43,0.51,58.44,11.78
34,0.43,0.51,58.61,-11.38
35,0.43,0.51,58.81,11.22
36,0.43,0.51,58.96,-10.85
37,0.44,0.52,59.13,10.71
38,0.44,0.52,59.34,-10.39
39,0.44,0.52,59.49,10.3
40,0.44,0.53,59.66,-10.14
41,0.44,0.53,59.84,9.99
42,0.44,0.53,60.02,-9.81
43,0.44,0.54,60.16,9.57
44,0.45,0.54,60.35,-9.47
45,0.45,0.54,60.51,-9.07
46,0.45,0.54,60.7,9.04
47,0.45,0.55,60.88,-8.63
48,0.45,0.55,61.06,8.57
49,0.45,0.55,61.23,-8.35
50,0.45,0.56,61.49,8.21
51,0.46,0.56,61.67,-8.09
52,0.46,0.56,61.84,7.89
53,0.46,0.57,62.01,-7.83
54,0.46,0.57,62.2,-7.55
55,0.46,0.57,62.43,7.37
56,0.46,0.58,62.62,-7.23
57,0.47,0.58,62.82,7.11
58,0.47,0.58,63.02,-6.9
59,0.47,0.59,63.25,6.71
60,0.47,0.59,63.52,-6.61
61,0.47,0.59,63.74,-6.35
62,0.47,0.6,63.96,6.34
63,0.48,0.6,64.2,6.01
64,0.48,0.61,64.44,-5.85
65,0.48,0.61,64.64,5.66
66,0.48,0.61,64.97,-5.5
67,0.49,0.62,65.22,5.38
68,0.49,0.62,65.47,-5.18
69,0.49,0.62,65.77,5.03
70,0.49,0.63,66.06,-4.83
71,0.49,0.63,66.27,4.66
72,0.5,0.64,66.59,-4.54
73,0.5,0.64,66.89,4.28
74,0.5,0.65,67.26,-4.23
75,0.5,0.66,67.62,-3.93
76,0.51,0.66,68.01,3.91
77,0.51,0.67,68.39,-3.67
78,0.51,0.68,68.77,3.59
79,0.52,0.69,69.11,3.37
80,0.52,0.69,69.55,-3.33
81,0.52,0.7,70.02,3.09
82,0.53,0.71,70.4,-3.08
83,0.53,0.72,70.81,2.82
84,0.53,0.73,71.3,-2.68
85,0.54,0.73,71.89,2.55
86,0.54,0.74,72.47,-2.32
87,0.55,0.75,73.14,2.25
88,0.55,0.76,73.68,-2.01
89,0.55,0.77,74.41,1.87
90,0.56,0.78,74.88,-1.78
91,0.56,0.79,75.54,1.59
92,0.57,0.8,76.2,-1.47
93,0.58,0.82,77.03,1.22
94,0.58,0.83,78.01,-1.02
95,0.59,0.85,78.81,0.9
96,0.6,0.87,79.78,-0.68
97,0.6,0.89,80.7,0.64
98,0.62,0.93,82.35,-0.37
99,0.64,0.98,84.63,0.32
100,0.72,1.36,100.74,-0.02
