Percentile,VerticalJump,BroadJump,ProAgility,Sprint40,Split10,Velocity40
0,17.5,74,5.56,6.05,2.13,13.5
1,23,91,5.09,5.55,2.12,14.7
2,24,94,5.02,5.48,2.12,14.9
3,24.5,95,4.97,5.42,2.11,15.1
4,25,97,4.93,5.38,2.1,15.2
5,25.5,98,4.9,5.36,2.09,15.3
6,26,98,4.87,5.33,2.09,15.4
7,26.5,99,4.84,5.31,2.08,15.4
8,26.5,100,4.82,5.29,2.07,15.5
9,27,101,4.8,5.27,2.06,15.5
10,27,101,4.78,5.25,2.06,15.6
11,27.5,102,4.77,5.23,2.05,15.6
12,27.5,103,4.75,5.21,2.04,15.7
13,28,103,4.73,5.19,2.04,15.8
14,28,104,4.72,5.18,2.03,15.8
15,28.5,104,4.7,5.16,2.02,15.9
16,28.5,105,4.69,5.13,2.01,16
17,28.5,105,4.67,5.12,2.01,16
18,29,106,4.65,5.09,2,16.1
19,29,106,4.64,5.08,1.99,16.1
20,29.1,107,4.63,5.06,1.98,16.2
21,29.5,107,4.62,5.05,1.98,16.2
22,29.5,108,4.6,5.03,1.97,16.3
23,29.5,108,4.58,5.01,1.96,16.3
24,30,108,4.57,4.99,1.95,16.4
25,30,109,4.56,4.98,1.95,16.4
26,30,109,4.55,4.96,1.94,16.5
27,30.5,109,4.54,4.95,1.93,16.5
28,30.5,110,4.53,4.93,1.93,16.6
29,30.5,110,4.52,4.92,1.92,16.6
30,31,110,4.51,4.9,1.91,16.7
31,31,111,4.5,4.89,1.9,16.7
32,31,111,4.49,4.88,1.9,16.8
33,31,111,4.48,4.87,1.89,16.8
34,31.5,112,4.47,4.85,1.88,16.9
35,31.5,112,4.46,4.84,1.87,16.9
36,31.5,112,4.46,4.83,1.87,16.9
37,31.5,112,4.45,4.82,1.86,17
38,32,113,4.44,4.81,1.85,17
39,32,113,4.43,4.8,1.85,17.1
40,32,113,4.42,4.79,1.84,17.1
41,32,113,4.41,4.78,1.83,17.1
42,32.5,114,4.4,4.77,1.82,17.2
43,32.5,114,4.4,4.76,1.82,17.2
44,32.5,114,4.4,4.75,1.81,17.2
45,32.5,115,4.39,4.74,1.8,17.3
46,33,115,4.38,4.73,1.79,17.3
47,33,115,4.38,4.72,1.79,17.3
48,33,115,4.37,4.71,1.78,17.4
49,33,115,4.36,4.7,1.77,17.4
50,33,116,4.36,4.69,1.76,17.4
51,33,116,4.35,4.69,1.76,17.4
52,33.5,116,4.34,4.68,1.75,17.5
53,33.5,116,4.34,4.67,1.74,17.5
54,33.5,117,4.33,4.66,1.74,17.6
55,33.5,117,4.32,4.65,1.73,17.6
56,34,117,4.32,4.65,1.72,17.6
57,34,117,4.31,4.64,1.71,17.6
58,34,117.64,4.31,4.64,1.71,17.6
59,34,118,4.3,4.63,1.7,17.7
60,34,118,4.3,4.62,1.69,17.7
61,34.5,118,4.29,4.62,1.68,17.7
62,34.5,118,4.28,4.61,1.68,17.8
63,34.5,119,4.28,4.6,1.67,17.8
64,34.5,119,4.27,4.6,1.66,17.8
65,34.5,119,4.27,4.59,1.66,17.8
66,35,119,4.26,4.59,1.65,17.8
67,35,120,4.25,4.58,1.64,17.9
68,35,120,4.25,4.58,1.63,17.9
69,35,120,4.24,4.57,1.63,17.9
70,35.5,120,4.23,4.57,1.62,17.9
71,35.5,120,4.23,4.56,1.61,17.9
72,35.5,120,4.22,4.56,1.6,17.9
73,35.5,121,4.21,4.55,1.6,18
74,35.5,121,4.21,4.54,1.59,18
75,36,121,4.2,4.54,1.58,18
76,36,121,4.2,4.53,1.58,18.1
77,36,122,4.19,4.53,1.57,18.1
78,36,122,4.18,4.52,1.56,18.1
79,36.5,122,4.18,4.52,1.55,18.1
80,36.5,122,4.17,4.51,1.55,18.1
81,36.5,123,4.16,4.5,1.54,18.2
82,36.5,123,4.15,4.5,1.53,18.2
83,37,123,4.15,4.49,1.52,18.2
84,37,123,4.14,4.49,1.52,18.2
85,37,124,4.13,4.48,1.51,18.3
86,37.5,124,4.12,4.48,1.5,18.3
87,37.5,124,4.12,4.47,1.49,18.3
88,38,125,4.11,4.46,1.49,18.3
89,38,125,4.1,4.45,1.48,18.4
90,38,125,4.09,4.45,1.47,18.4
91,38.5,126,4.08,4.44,1.47,18.4
92,38.5,127,4.08,4.43,1.46,18.5
93,39,127,4.07,4.42,1.45,18.5
94,39.07,128,4.06,4.41,1.44,18.6
95,39.5,128,4.03,4.4,1.44,18.6
96,40,129,4.01,4.39,1.43,18.6
97,40.5,130,3.99,4.37,1.42,18.7
98,41,132,3.96,4.36,1.41,18.8
99,42,134,3.91,4.33,1.41,18.9
100,46.5,147,3.73,4.22,1.4,19.4
