"percentile","JumpHeight","mRSI","PeakRelPropPower","BrakingAsymm"
0,0.0623,0.1293,23.3326,-46.5323
1,0.30907,0.310484,46.3673,-30.0311
2,0.3282,0.33834,48.0375,-26.1261
3,0.340284,0.349942,49.155432,-23.320074
4,0.349,0.360456,50.071928,-21.497864
5,0.35597,0.3727,50.91765,-19.8778
6,0.360684,0.382136,51.4573,-18.7834
7,0.366698,0.391498,51.99756,-17.8836
8,0.3714,0.4,52.4465,-16.8059
9,0.3752,0.4078,52.9083,-15.883676
10,0.37818,0.4131,53.29178,-15.0477
11,0.3817,0.4188,53.745418,-14.408416
12,0.3843,0.4248,54.134232,-13.85574
13,0.3872,0.429382,54.4584,-13.3861
14,0.39,0.434096,54.7441,-12.763596
15,0.3934,0.43911,55.0195,-12.33281
16,0.3954,0.4451,55.329612,-11.843168
17,0.3978,0.4503,55.580996,-11.3758
18,0.4001,0.4554,55.7608,-10.846568
19,0.4017,0.4594,56.021678,-10.388496
20,0.40408,0.4637,56.20784,-10.1402
21,0.405988,0.466988,56.367768,-9.8109
22,0.4083,0.4711,56.515224,-9.470956
23,0.4107,0.4743,56.693482,-9.065584
24,0.412536,0.478208,56.908392,-8.633244
25,0.4143,0.4815,57.0858,-8.3503
26,0.4159,0.484692,57.266392,-8.0874
27,0.4176,0.4879,57.4226,-7.83425
28,0.4191,0.4908,57.642,-7.545716
29,0.4209,0.493706,57.84772,-7.2323
30,0.4235,0.4964,57.99372,-6.90164
31,0.4257,0.499834,58.1658,-6.6106
32,0.4276,0.5029,58.2999,-6.348476
33,0.4296,0.506262,58.442686,-5.851712
34,0.4311,0.5087,58.61282,-5.500568
35,0.4326,0.5114,58.80832,-5.1774
36,0.4345,0.5141,58.963324,-4.83378
37,0.4358,0.5173,59.133778,-4.542648
38,0.4371,0.5206,59.335152,-4.23008
39,0.4388,0.5236,59.4892,-3.9276
40,0.4401,0.527,59.6604,-3.67188
41,0.4417,0.530574,59.843636,-3.332
42,0.4435,0.532888,60.019576,-3.079692
43,0.4448,0.5358,60.163,-2.6816
44,0.4462,0.5385,60.352888,-2.321216
45,0.4474,0.5417,60.508,-2.0129
46,0.448744,0.5447,60.7041,-1.776592
47,0.4501,0.548,60.88209,-1.468716
48,0.4516,0.5513,61.059436,-1.019684
49,0.453,0.5545,61.234732,-0.6759
50,0.4542,0.5577,61.4935,-0.3743
51,0.455914,0.5598,61.6683,-0.017062000000004
52,0.4574,0.5637,61.840688,0.318212
53,0.4589,0.5661,62.0051,0.6365
54,0.460356,0.57,62.1969,0.8971
55,0.46247,0.5731,62.43356,1.2216
56,0.4647,0.576184,62.6234,1.5933
57,0.4667,0.579594,62.821696,1.86837800000001
58,0.4678,0.583212,63.019004,2.24564
59,0.469,0.586826,63.2495,2.55376
60,0.47124,0.59,63.5221,2.81716
61,0.4734,0.593254,63.7387,3.086404
62,0.4749,0.5983,63.955384,3.366872
63,0.4772,0.6029,64.2026,3.5877
64,0.4796,0.606596,64.435232,3.910772
65,0.4816,0.6099,64.63951,4.27781
66,0.4836,0.613,64.968,4.663696
67,0.4857,0.616738,65.22227,5.0338
68,0.4878,0.6208,65.467364,5.38126
69,0.489866,0.6245,65.771632,5.6648
70,0.4917,0.6296,66.06158,6.01022
71,0.4942,0.6341,66.2728,6.33913599999999
72,0.4963,0.639,66.591744,6.7091
73,0.4986,0.644122,66.8897,7.111838
74,0.500472,0.64978,67.263076,7.36916
75,0.50325,0.6559,67.619,7.8949
76,0.5061,0.6616,68.007464,8.211436
77,0.51,0.668234,68.392218,8.574974
78,0.512992,0.676,68.765996,9.043
79,0.5169,0.685606,69.105538,9.570352
80,0.52052,0.692220000000001,69.5481,9.98638
81,0.524,0.700568,70.02357,10.3008
82,0.527,0.706348,70.4038,10.7109
83,0.530462,0.7159,70.809044,11.2168
84,0.534852,0.7259,71.29874,11.779836
85,0.5383,0.7331,71.89465,12.29049
86,0.5425,0.7432,72.466708,12.7633
87,0.5461,0.753018,73.1356,13.331292
88,0.549332,0.760764,73.679816,13.883316
89,0.5531,0.7713,74.4107,14.396608
90,0.5572,0.7818,74.87736,14.96288
91,0.5636,0.7913,75.538996,15.675692
92,0.569976,0.802788,76.200184,16.1182
93,0.5768,0.8177,77.034788,16.7686
94,0.5825,0.8348,78.005912,17.476412
95,0.58823,0.8522,78.8074,18.26455
96,0.595044,0.871544,79.7757,19.466616
97,0.6043,0.89449,80.699776,20.649638
98,0.621232,0.927572,82.349288,22.860068
99,0.644658,0.980318,84.630766,25.546074
100,0.7226,1.3645,100.7442,44.6808
